,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression
,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore
Paper_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1.416,0.14,61.0,0.2869,0.0496,0.123,0.0,1.65,0.02,94.0,0.3433,0.0902,0.1567,0.0,1.692,0.01,112.0,0.4861,0.1818,0.2708,0.0,1.559,0.0,95.0,0.3866,0.1124,0.223,0.0
96,1.133,0.01,65.0,0.4474,0.2124,0.2895,0.0,1.268,0.03,79.0,0.3515,0.1013,0.2176,0.0,1.55,0.02,102.0,0.4183,0.092,0.1901,0.0,1.906,0.05,128.0,0.4467,0.0623,0.1787,0.0
97,1.575,0.04,115.0,0.446,0.2101,0.2014,0.0,1.203,0.01,76.0,0.4388,0.1787,0.3122,0.0,1.132,0.02,72.0,0.3574,0.1116,0.1872,0.0,1.913,0.01,125.0,0.4014,0.1394,0.2491,0.0
98,1.139,0.02,76.0,0.3536,0.067,0.221,0.0,1.142,0.0,62.0,0.4551,0.1333,0.2156,0.0,1.571,0.06,112.0,0.4128,0.0833,0.156,0.0,1.199,0.0,66.0,0.4509,0.0819,0.2312,0.0
99,16.938,0.45,1255.0,0.1429,0.0429,0.0743,0.0,1.765,0.0,93.0,0.5385,0.1165,0.2885,0.0,2.081,0.0,122.0,0.4641,0.1447,0.2025,0.0,1.167,0.0,66.0,0.4045,0.125,0.1798,0.0
100,1.836,0.0,122.0,0.3261,0.0879,0.1739,0.0,7.385,0.07,593.0,0.0894,0.0309,0.0678,0.0,1.133,0.0,76.0,0.2794,0.0597,0.1912,0.0,1.541,0.0,65.0,0.2205,0.0,0.1102,0.0
101,1.009,0.04,61.0,0.48,0.2428,0.3314,0.0,1.46,0.0,80.0,0.3918,0.0937,0.2165,0.0,1.29,0.0,88.0,0.43,0.1717,0.29,0.0,1.211,0.0,84.0,0.3673,0.1031,0.1939,0.0
102,0.972,0.04,61.0,0.3191,0.1286,0.1702,0.0,1.382,0.0,77.0,0.32,0.1208,0.1933,0.0,1.795,0.0,96.0,0.4635,0.1597,0.2857,0.0,1.459,0.0,84.0,0.4131,0.1518,0.223,0.0
103,1.607,0.05,105.0,0.4601,0.1667,0.2638,0.0,1.285,0.14,73.0,0.3686,0.11,0.2526,0.0,1.272,0.0,71.0,0.3368,0.1107,0.2062,0.0,1.574,0.02,85.0,0.3766,0.1373,0.2078,0.0
104,1.105,0.0,68.0,0.3125,0.036,0.125,0.0,1.469,0.02,87.0,0.3621,0.0581,0.1728,0.0,1.551,0.04,118.0,0.3796,0.0662,0.1606,0.0,1.197,0.02,77.0,0.4255,0.1288,0.1787,0.0
105,1.461,0.0,100.0,0.3636,0.0859,0.2182,0.0,2.128,0.0,118.0,0.2811,0.0546,0.1622,0.0,1.284,0.0,79.0,0.3425,0.0556,0.1918,0.0,1.007,0.0,48.0,0.386,0.0536,0.2105,0.0
106,2.02,0.0,116.0,0.447,0.1298,0.2121,0.0,2.372,0.0,141.0,0.4605,0.1176,0.2268,0.0,2.316,0.0,81.0,0.2882,0.0881,0.1572,0.0,2.012,0.0,106.0,0.3922,0.087,0.1725,0.0
107,1.612,1.59,61.0,0.5152,0.2857,0.3535,0.0,2.55,0.05,85.0,0.5446,0.2973,0.4643,0.0,1.338,0.02,79.0,0.3814,0.1596,0.2884,0.0,1.412,0.0,84.0,0.5676,0.2909,0.4324,0.0
108,2.273,0.06,185.0,0.4516,0.1829,0.2405,0.0,1.398,0.02,83.0,0.4622,0.1356,0.2689,0.0,1.169,0.02,81.0,0.3262,0.0779,0.1803,0.0,1.26,0.02,79.0,0.4156,0.1048,0.1905,0.0
109,2.355,0.04,153.0,0.6407,0.3025,0.3788,0.0,1.642,0.19,84.0,0.4577,0.1844,0.2394,0.0,1.65,0.04,101.0,0.5752,0.2566,0.3725,0.0,1.969,0.02,124.0,0.5321,0.1785,0.3058,0.0
110,1.292,0.02,75.0,0.3388,0.0833,0.1653,0.0,1.9,0.01,121.0,0.4792,0.1608,0.2569,0.0,1.37,0.01,89.0,0.3113,0.0784,0.1479,0.0,1.136,0.0,57.0,0.2946,0.1351,0.1786,0.0
111,1.163,0.0,66.0,0.5556,0.191,0.3,0.0,1.163,0.0,60.0,0.5087,0.2456,0.3584,0.0,1.418,0.0,99.0,0.5352,0.1991,0.2817,0.0,6.764,0.0,412.0,0.2178,0.0546,0.1053,0.0
112,1.109,0.0,55.0,0.3959,0.2051,0.2944,0.0,2.535,0.0,133.0,0.5053,0.1864,0.2491,0.0,1.366,0.0,91.0,0.4242,0.1572,0.1991,0.0,2.421,0.0,146.0,0.4207,0.1181,0.2,0.0
113,1.32,0.0,82.0,0.3431,0.1324,0.2044,0.0,1.741,0.0,116.0,0.4495,0.1705,0.1954,0.0,57.772,0.4,3763.0,0.0482,0.0055,0.0318,0.0,2.807,0.0,198.0,0.5025,0.1616,0.2412,0.0
114,9.392,0.11,685.0,0.29,0.0538,0.1353,0.0,1.281,0.0,68.0,0.2789,0.1027,0.1905,0.0,29.193,0.06,1965.0,0.1524,0.0303,0.0775,0.0,2.137,0.0,154.0,0.4409,0.1741,0.2362,0.0
115,102.054,0.0,5978.0,0.0549,0.0183,0.0331,0.0,1.758,0.0,93.0,0.3722,0.0825,0.2019,0.0,42.415,0.0,2531.0,0.0854,0.0105,0.0476,0.0,1.628,0.0,100.0,0.3715,0.0935,0.192,0.0
116,26.21,0.02,1620.0,0.0455,0.0034,0.0296,0.0,1.859,0.02,94.0,0.3158,0.0473,0.1754,0.0,1.676,0.0,75.0,0.2078,0.0,0.1299,0.0,1.329,0.0,71.0,0.3288,0.0833,0.2329,0.0
117,11.432,0.0,651.0,0.1595,0.0209,0.0809,0.0,1.814,0.0,128.0,0.4319,0.107,0.186,0.0,1.388,0.0,47.0,0.1435,0.0,0.0807,0.0,1.79,0.0,112.0,0.4281,0.1131,0.1965,0.0
118,0.971,0.01,31.0,0.1217,0.0,0.087,0.0,2.347,0.0,107.0,0.455,0.0963,0.2011,0.0,3.624,0.0,161.0,0.1479,0.0157,0.0856,0.0,1.319,0.0,75.0,0.4051,0.0513,0.1519,0.0
119,2.723,0.0,140.0,0.2094,0.0053,0.0942,0.0,1.993,0.0,116.0,0.48,0.1954,0.2914,0.0,7.194,0.0,393.0,0.2122,0.0188,0.0998,0.0,1.475,0.0,91.0,0.434,0.1392,0.2138,0.0
120,5.617,0.03,288.0,0.1827,0.0097,0.1058,0.0,1.849,0.0,126.0,0.3596,0.0531,0.193,0.0,9.628,0.0,527.0,0.1347,0.006,0.0898,0.0,1.719,0.0,112.0,0.3084,0.0377,0.1589,0.0
121,34.728,0.19,1952.0,0.1665,0.0274,0.0862,0.0,128.739,0.04,7383.0,0.0691,0.0228,0.0405,0.0,5.314,0.0,238.0,0.2682,0.0259,0.126,0.0,1.793,0.0,92.0,0.3408,0.1126,0.1973,0.0
122,5.589,0.0,223.0,0.2017,0.0169,0.1008,0.0,1.308,0.02,61.0,0.3352,0.1243,0.2346,0.0,1.302,0.03,52.0,0.2012,0.024,0.1065,0.0,2.256,0.01,160.0,0.4532,0.1232,0.2446,0.0
123,0.894,0.03,30.0,0.0749,0.0,0.0535,0.0,2.127,0.02,111.0,0.4528,0.1597,0.2264,0.0,1.727,0.02,72.0,0.1765,0.0085,0.0924,0.0,1.178,0.02,59.0,0.3349,0.1408,0.1674,0.0
124,1.497,0.04,48.0,0.152,0.0118,0.0585,0.0,1.306,0.0,68.0,0.4792,0.1895,0.3229,0.0,35.855,0.09,1904.0,0.058,0.0094,0.0355,0.0,1.274,0.0,70.0,0.3505,0.0937,0.2371,0.0
125,7.553,0.04,360.0,0.1191,0.0124,0.0739,0.0,1.192,0.0,69.0,0.5029,0.2012,0.3275,0.0,5.901,0.0,275.0,0.1386,0.005,0.0792,0.0,1.624,0.0,100.0,0.4902,0.1683,0.2451,0.0
126,1.23,0.0,39.0,0.0708,0.011,0.0599,0.0,1.38,0.0,88.0,0.3099,0.0973,0.1453,0.0,2.679,0.0,114.0,0.1741,0.0224,0.0938,0.0,1.842,0.0,114.0,0.3516,0.0917,0.2009,0.0
127,4.115,0.0,196.0,0.1765,0.0118,0.1059,0.0,1.354,0.0,74.0,0.4356,0.18,0.3267,0.0,4.489,0.03,202.0,0.1813,0.0059,0.1053,0.0,1.92,0.02,128.0,0.4269,0.1275,0.1897,0.0
128,1.376,0.0,56.0,0.1429,0.0,0.1053,0.0,4.157,0.0,246.0,0.2287,0.009,0.1211,0.0,8.692,0.0,401.0,0.2302,0.0094,0.1151,0.0,1.96,0.0,112.0,0.4543,0.1714,0.2271,0.0
129,29.878,0.0,1591.0,0.0885,0.0098,0.0536,0.0,1.315,0.0,74.0,0.3421,0.0442,0.1404,0.0,5.214,0.07,239.0,0.2291,0.0336,0.1193,0.0,0.959,0.01,58.0,0.3602,0.1053,0.1896,0.0
130,7.027,0.0,305.0,0.1882,0.0118,0.0902,0.0,1.433,0.0,82.0,0.4302,0.1673,0.2943,0.0,0.806,0.0,19.0,0.0808,0.0,0.0505,0.0,2.331,0.0,139.0,0.4691,0.0994,0.216,0.0
131,2.705,0.0,105.0,0.1967,0.0066,0.118,0.0,3.052,0.0,154.0,0.3768,0.0583,0.1565,0.0,2.137,0.03,79.0,0.172,0.0144,0.1147,0.0,2.788,0.05,173.0,0.337,0.0383,0.1359,0.0
132,5.545,0.05,229.0,0.2129,0.0,0.099,0.0,1.069,0.03,63.0,0.3077,0.0457,0.1629,0.0,3.106,0.03,129.0,0.1973,0.0068,0.1088,0.0,0.864,0.11,49.0,0.2718,0.0588,0.1359,0.0
133,2.365,0.02,98.0,0.2,0.0088,0.1391,0.0,1.359,0.01,75.0,0.398,0.1134,0.2347,0.0,3.187,0.01,127.0,0.2113,0.0228,0.1283,0.0,0.844,0.02,46.0,0.2667,0.0736,0.1697,0.0
134,3.594,0.04,144.0,0.1981,0.0062,0.0991,0.0,0.87,0.0,38.0,0.2667,0.1442,0.1905,0.0,2.375,0.0,96.0,0.2049,0.0071,0.106,0.0,1.776,0.0,102.0,0.4855,0.1752,0.2754,0.0
135,29.774,0.08,1500.0,0.1044,0.008,0.0624,0.0,1.311,0.0,76.0,0.3672,0.063,0.1875,0.0,0.854,0.1,26.0,0.1078,0.0099,0.0784,0.0,1.233,0.0,74.0,0.3426,0.1365,0.2151,0.0
136,1.378,0.0,41.0,0.1047,0.0,0.0524,0.0,1.458,0.0,76.0,0.4513,0.125,0.2212,0.0,1.874,0.0,79.0,0.2288,0.0171,0.1356,0.0,1.931,0.0,114.0,0.4981,0.1673,0.2868,0.0
137,2.034,0.0,87.0,0.1869,0.0,0.0969,0.0,0.931,0.01,56.0,0.2716,0.0332,0.107,0.0,1.75,0.03,75.0,0.1852,0.0075,0.0963,0.0,1.289,0.03,80.0,0.3037,0.097,0.1852,0.0
138,1.659,0.02,57.0,0.1622,0.0,0.0811,0.0,1.61,0.0,97.0,0.4219,0.1496,0.2266,0.0,1.621,0.0,24.0,0.0778,0.0,0.0556,0.0,2.28,0.01,154.0,0.4557,0.1019,0.2089,0.0
139,2.493,0.05,106.0,0.1627,0.0,0.1244,0.0,1.381,0.02,73.0,0.3412,0.0952,0.2235,0.0,1.007,0.02,34.0,0.1037,0.0,0.0889,0.0,1.181,0.02,66.0,0.3758,0.1963,0.3152,0.0
140,1.658,0.03,63.0,0.1104,0.0,0.0736,0.0,2.092,0.02,146.0,0.4333,0.1765,0.2417,0.0,8.76,0.06,378.0,0.0837,0.008,0.0558,0.0,1.171,0.02,71.0,0.4224,0.1258,0.2236,0.0
141,0.918,0.0,31.0,0.0772,0.0,0.0695,0.0,2.0,0.0,136.0,0.3361,0.1496,0.2424,0.0,2.821,0.0,108.0,0.1499,0.0,0.0865,0.0,1.183,0.0,62.0,0.3194,0.1329,0.2083,0.0
142,1.643,0.0,52.0,0.1026,0.0,0.0718,0.0,2.16,0.0,155.0,0.4228,0.0743,0.1544,0.0,1.013,0.0,35.0,0.1341,0.0,0.0559,0.0,1.553,0.0,78.0,0.3727,0.0734,0.1636,0.0
143,0.94,0.0,27.0,0.0719,0.0121,0.0599,0.0,1.823,0.03,129.0,0.403,0.0752,0.1567,0.0,3.087,0.07,127.0,0.212,0.0214,0.1131,0.0,1.19,0.0,66.0,0.3333,0.0769,0.1429,0.0
144,0.97,0.0,38.0,0.0923,0.0104,0.041,0.0,2.374,0.0,142.0,0.4636,0.0933,0.2318,0.0,1.95,0.0,77.0,0.1893,0.0166,0.1317,0.0,1.319,0.0,89.0,0.4274,0.1382,0.1935,0.0
145,24.224,0.0,1126.0,0.0456,0.0079,0.0315,0.0,1.39,0.0,79.0,0.4737,0.1467,0.2895,0.0,3.482,0.0,77.0,0.1615,0.0126,0.0994,0.0,3.903,0.04,268.0,0.3305,0.086,0.1766,0.0
146,5.208,0.06,215.0,0.2335,0.0156,0.1284,0.0,1.273,0.04,79.0,0.2316,0.0455,0.113,0.0,0.599,0.02,12.0,0.0213,0.0,0.0213,0.0,1.12,0.02,71.0,0.2047,0.0176,0.0994,0.0
147,7.816,0.08,354.0,0.1721,0.0077,0.1109,0.0,1.976,0.0,127.0,0.4461,0.1049,0.2007,0.0,1.464,0.02,47.0,0.125,0.0,0.0938,0.0,1.239,0.0,71.0,0.4883,0.1611,0.3286,0.0
148,5.899,0.0,286.0,0.0762,0.0059,0.0587,0.0,1.251,0.0,70.0,0.2593,0.1132,0.2407,0.0,2.31,0.0,92.0,0.1399,0.0,0.0979,0.0,8.294,0.0,593.0,0.0794,0.0153,0.0641,0.0
149,3.936,0.0,161.0,0.2056,0.0056,0.1,0.0,1.162,0.0,65.0,0.4016,0.1653,0.1885,0.0,6.125,0.0,256.0,0.2184,0.0172,0.1199,0.0,1.416,0.0,88.0,0.4328,0.1955,0.2388,0.0
150,8.533,0.0,365.0,0.161,0.0075,0.0974,0.0,2.233,0.0,132.0,0.3684,0.1212,0.218,0.0,5.896,0.0,247.0,0.1886,0.005,0.1042,0.0,1.772,0.0,85.0,0.3258,0.0822,0.1538,0.0
151,0.974,0.0,31.0,0.0874,0.0,0.0546,0.0,1.679,0.01,103.0,0.3953,0.1016,0.1938,0.0,1.636,0.04,61.0,0.1574,0.0,0.1019,0.0,1.558,0.0,92.0,0.3401,0.0571,0.1619,0.0
152,2.888,0.0,136.0,0.2424,0.0277,0.1267,0.0,1.364,0.0,75.0,0.3197,0.1027,0.1837,0.0,2.524,0.0,88.0,0.183,0.0063,0.0883,0.0,1.887,0.0,108.0,0.4268,0.1472,0.2012,0.0
153,3.54,0.0,153.0,0.2145,0.0,0.1199,0.0,1.333,0.0,78.0,0.4561,0.1504,0.2544,0.0,3.142,0.05,134.0,0.2116,0.0137,0.116,0.0,3.496,0.04,251.0,0.3882,0.0691,0.2015,0.0
154,1.087,0.0,39.0,0.1333,0.0096,0.0952,0.0,2.701,0.02,184.0,0.4814,0.219,0.298,0.0,2.881,0.0,131.0,0.2173,0.0257,0.1278,0.0,0.967,0.0,53.0,0.271,0.0943,0.1495,0.0
155,1.769,0.14,75.0,0.1634,0.0197,0.0915,0.0,1.231,0.0,80.0,0.3684,0.0927,0.1776,0.0,4.027,0.0,174.0,0.247,0.0239,0.1188,0.0,1.526,0.0,85.0,0.4272,0.1238,0.2718,0.0
156,2.273,0.0,86.0,0.1709,0.0,0.1026,0.0,12.338,0.0,510.0,0.1075,0.0031,0.0737,0.0,2.412,0.0,95.0,0.1506,0.0084,0.0837,0.0,17.788,0.0,604.0,0.1007,0.0,0.0715,0.0
157,3.612,0.05,152.0,0.1871,0.0072,0.1223,0.0,2.237,0.02,122.0,0.3605,0.0173,0.1373,0.0,1.628,0.05,69.0,0.2128,0.0108,0.1064,0.0,2.336,0.15,117.0,0.3117,0.0175,0.1472,0.0
158,4.883,0.03,199.0,0.2125,0.0055,0.109,0.0,1.311,0.0,75.0,0.3644,0.0987,0.1867,0.0,8.895,0.05,383.0,0.1986,0.0071,0.0957,0.0,1.357,0.03,85.0,0.4167,0.1176,0.225,0.0
159,2.526,0.0,97.0,0.1713,0.0123,0.1101,0.0,1.277,0.01,75.0,0.3525,0.1024,0.1966,0.0,8.051,0.07,352.0,0.186,0.0167,0.0997,0.0,1.575,0.0,107.0,0.4049,0.1605,0.2331,0.0
160,7.518,0.0,305.0,0.1624,0.0129,0.0897,0.0,1.748,0.0,107.0,0.2857,0.0611,0.1385,0.0,10.058,0.0,449.0,0.1503,0.023,0.098,0.0,2.35,0.0,162.0,0.3045,0.0279,0.1315,0.0
161,0.872,0.0,27.0,0.0851,0.0144,0.0709,0.0,0.991,0.0,47.0,0.3851,0.1006,0.2733,0.0,1.768,0.0,55.0,0.1932,0.023,0.1477,0.0,42.934,0.16,2987.0,0.0693,0.0286,0.0469,0.0
162,8.498,0.04,377.0,0.2475,0.0292,0.1106,0.0,1.868,0.02,72.0,0.3127,0.1365,0.1888,0.0,2.208,0.04,65.0,0.1538,0.0119,0.0947,0.0,1.418,0.01,94.0,0.3767,0.1281,0.2271,0.0
163,1.812,0.02,76.0,0.1787,0.0,0.1021,0.0,1.604,0.03,97.0,0.498,0.1619,0.2892,0.0,1.314,0.0,49.0,0.197,0.0,0.0788,0.0,2.225,0.0,159.0,0.4522,0.0769,0.1783,0.0
164,4.364,0.08,189.0,0.2415,0.0229,0.123,0.0,1.583,0.0,112.0,0.2815,0.0531,0.1408,0.0,2.188,0.0,97.0,0.1796,0.012,0.1078,0.0,8.094,0.02,515.0,0.2692,0.0351,0.1265,0.0
165,1.26,0.0,45.0,0.0926,0.0,0.0648,0.0,3.282,0.0,219.0,0.4987,0.179,0.285,0.0,3.219,0.0,126.0,0.2222,0.0128,0.127,0.0,1.317,0.01,78.0,0.4113,0.187,0.2823,0.0
166,1.979,0.0,89.0,0.2116,0.0107,0.0952,0.0,0.973,0.0,51.0,0.4189,0.1507,0.2297,0.0,3.389,0.0,133.0,0.1905,0.008,0.0873,0.0,1.431,0.05,93.0,0.4188,0.1164,0.2618,0.0
167,8.4,0.71,418.0,0.2108,0.0091,0.1205,0.0,1.319,0.03,80.0,0.396,0.1419,0.255,0.0,1.619,0.02,74.0,0.1156,0.0137,0.0884,0.0,55.676,0.07,3633.0,0.097,0.0373,0.0572,0.0
168,0.904,0.05,22.0,0.0292,0.0,0.0292,0.0,2.331,0.0,144.0,0.3385,0.0853,0.1615,0.0,1.841,0.0,75.0,0.1709,0.0,0.0704,0.0,1.178,0.01,69.0,0.337,0.0659,0.1848,0.0
169,1.315,0.02,52.0,0.0835,0.0099,0.059,0.0,1.915,0.0,122.0,0.4099,0.1705,0.265,0.0,2.969,0.04,133.0,0.1815,0.0283,0.1129,0.0,1.259,0.0,69.0,0.2322,0.0667,0.1327,0.0
170,3.81,0.02,147.0,0.2061,0.0061,0.097,0.0,1.301,0.0,74.0,0.3797,0.1702,0.27,0.0,3.434,0.0,150.0,0.25,0.0,0.122,0.0,2.428,0.0,169.0,0.4985,0.1612,0.2849,0.0
171,9.368,0.08,399.0,0.2235,0.0115,0.1203,0.0,1.708,0.0,114.0,0.3471,0.0942,0.1763,0.0,1.874,0.0,46.0,0.107,0.0067,0.0669,0.0,2.608,0.0,70.0,0.2334,0.0444,0.1451,0.0
172,3.517,2.07,143.0,0.1786,0.0,0.0857,0.0,36.437,0.23,2044.0,0.071,0.0178,0.0426,0.0,7.358,0.07,279.0,0.1644,0.0046,0.0913,0.0,3.568,0.38,218.0,0.4379,0.0833,0.213,0.0
173,6.287,0.05,268.0,0.2049,0.0245,0.1122,0.0,1.456,0.02,76.0,0.41,0.1616,0.32,0.0,0.881,0.01,25.0,0.1538,0.026,0.1154,0.0,1.79,0.02,100.0,0.4248,0.0893,0.2389,0.0
174,1.137,0.04,32.0,0.1235,0.0,0.1111,0.0,1.388,0.04,84.0,0.4762,0.1538,0.2762,0.0,2.849,0.03,122.0,0.2121,0.0076,0.1212,0.0,1.52,0.01,84.0,0.4667,0.1058,0.2381,0.0
175,4.089,0.02,171.0,0.2459,0.0055,0.1093,0.0,1.775,0.0,112.0,0.3172,0.0347,0.1241,0.0,2.619,0.0,100.0,0.1951,0.007,0.1045,0.0,1.799,0.01,98.0,0.3226,0.0289,0.1362,0.0
176,3.433,0.01,120.0,0.1677,0.0,0.0994,0.0,1.056,0.0,56.0,0.3489,0.1631,0.2553,0.0,0.915,0.0,29.0,0.0857,0.0,0.0571,0.0,1.343,0.0,81.0,0.4138,0.1853,0.2605,0.0
177,1.658,0.0,32.0,0.0812,0.0,0.059,0.0,32.984,0.0,1416.0,0.2115,0.0555,0.0928,0.0,2.682,1.18,123.0,0.2137,0.0055,0.126,0.0,1.514,0.04,79.0,0.3009,0.0631,0.1693,0.0
178,4.547,1.64,184.0,0.2157,0.0049,0.098,0.0,1.325,0.06,78.0,0.3188,0.0949,0.1957,0.0,1.211,0.06,40.0,0.1167,0.0,0.075,0.0,2.131,0.0,130.0,0.3731,0.0615,0.159,0.0
179,6.392,0.04,300.0,0.2147,0.02,0.0994,0.0,1.689,0.02,106.0,0.4281,0.1212,0.194,0.0,3.582,0.02,141.0,0.2105,0.0118,0.0994,0.0,2.139,0.0,126.0,0.4254,0.1022,0.1841,0.0
180,2.866,0.02,101.0,0.2373,0.0171,0.1356,0.0,2.548,0.01,158.0,0.5018,0.1372,0.2294,0.0,0.94,0.01,23.0,0.1389,0.0,0.0833,0.0,1.704,0.01,100.0,0.4395,0.1086,0.2422,0.0
181,3.126,0.0,127.0,0.1886,0.0057,0.1086,0.0,1.187,0.01,75.0,0.3297,0.0939,0.2079,0.0,10.169,0.07,460.0,0.2053,0.0113,0.1041,0.0,1.201,0.01,70.0,0.3055,0.0733,0.1818,0.0
182,3.972,0.05,146.0,0.2028,0.0,0.1119,0.0,1.872,0.0,109.0,0.3667,0.042,0.15,0.0,1.801,0.0,55.0,0.1613,0.0,0.086,0.0,2.096,0.0,142.0,0.4485,0.1037,0.1765,0.0
183,1.755,0.0,66.0,0.1567,0.0093,0.0737,0.0,1.6,0.2,93.0,0.351,0.0988,0.2041,0.0,2.659,0.0,99.0,0.2296,0.0,0.1111,0.0,1.411,0.0,84.0,0.3305,0.0513,0.1864,0.0
184,1.349,0.0,51.0,0.1429,0.0,0.0816,0.0,1.315,0.0,88.0,0.4522,0.1667,0.2174,0.0,6.136,0.07,286.0,0.1678,0.0044,0.0971,0.0,1.17,0.0,72.0,0.4476,0.1538,0.3143,0.0
185,3.757,0.0,166.0,0.2122,0.0065,0.1093,0.0,2.447,0.0,166.0,0.4474,0.1788,0.25,0.0,3.865,0.0,178.0,0.1945,0.0,0.1277,0.0,1.136,0.0,68.0,0.31,0.0808,0.2,0.0
186,3.083,0.0,118.0,0.1871,0.026,0.0839,0.0,1.651,0.0,110.0,0.3299,0.09,0.1787,0.0,1.252,0.0,45.0,0.1739,0.0263,0.1217,0.0,2.048,0.0,71.0,0.3543,0.119,0.1575,0.0
187,1.714,0.4,60.0,0.1517,0.0,0.0828,0.0,1.309,0.03,70.0,0.5034,0.2759,0.381,0.0,1.993,0.01,65.0,0.1622,0.0,0.0946,0.0,2.374,0.0,161.0,0.3583,0.1261,0.2417,0.0
188,2.972,0.03,123.0,0.163,0.0,0.0963,0.0,3.579,0.17,239.0,0.3747,0.1167,0.1847,0.0,1.508,0.04,65.0,0.1262,0.0,0.0777,0.0,8.224,0.05,530.0,0.2219,0.0297,0.1124,0.0
189,1.682,0.03,57.0,0.1443,0.0104,0.0928,0.0,1.403,0.04,78.0,0.4673,0.1887,0.2897,0.0,3.703,0.0,145.0,0.2591,0.0268,0.1262,0.0,1.251,0.04,79.0,0.4393,0.1698,0.2897,0.0
190,4.116,0.0,177.0,0.1186,0.0,0.087,0.0,1.979,0.0,121.0,0.3511,0.1183,0.1809,0.0,2.337,0.0,87.0,0.1585,0.0123,0.1098,0.0,1.211,0.0,62.0,0.3937,0.112,0.1732,0.0
191,2.578,0.0,104.0,0.1865,0.0104,0.1036,0.0,1.455,0.0,63.0,0.2823,0.1208,0.2042,0.0,3.137,0.0,110.0,0.1612,0.0152,0.0957,0.0,1.365,0.01,88.0,0.3128,0.0843,0.1844,0.0
192,3.857,0.0,165.0,0.2129,0.0294,0.1127,0.0,1.326,0.0,91.0,0.3255,0.1108,0.1995,0.0,3.501,0.0,172.0,0.2037,0.0209,0.1164,0.0,1.469,0.0,99.0,0.3454,0.114,0.2062,0.0
193,7.462,0.0,317.0,0.2011,0.0114,0.1101,0.0,2.337,0.0,153.0,0.4307,0.1128,0.2065,0.0,2.165,0.0,84.0,0.1387,0.0147,0.1095,0.0,1.852,0.0,87.0,0.3841,0.1387,0.1957,0.0
194,8.778,0.0,367.0,0.1842,0.0148,0.0958,0.0,37.585,0.17,2395.0,0.0806,0.0124,0.0519,0.0,8.82,0.11,412.0,0.2139,0.0068,0.1087,0.0,2.398,0.02,165.0,0.327,0.0127,0.1321,0.0
195,2.901,0.02,120.0,0.2062,0.0069,0.11,0.0,1.409,0.01,86.0,0.373,0.096,0.2063,0.0,1.801,0.0,78.0,0.1803,0.0083,0.1148,0.0,1.792,0.02,118.0,0.4366,0.1418,0.2394,0.0
196,3.11,0.02,121.0,0.1868,0.0157,0.1089,0.0,1.594,0.0,97.0,0.4516,0.1674,0.2488,0.0,2.331,0.0,95.0,0.2035,0.0089,0.1416,0.0,1.929,0.0,127.0,0.5382,0.1943,0.2731,0.0
197,4.435,0.0,199.0,0.2419,0.0187,0.1116,0.0,1.218,0.0,77.0,0.3668,0.1115,0.2284,0.0,1.214,0.0,42.0,0.1479,0.0078,0.0778,0.0,1.703,0.0,113.0,0.5215,0.1914,0.3067,0.0
198,2.842,0.0,117.0,0.1032,0.0,0.0903,0.0,1.167,0.0,46.0,0.2973,0.0833,0.2432,0.0,7.856,0.0,318.0,0.0638,0.0,0.0479,0.0,1.628,0.0,90.0,0.1967,0.0833,0.1475,0.0
199,2.531,0.0,95.0,0.1544,0.0074,0.0956,0.0,1.648,0.0,91.0,0.4462,0.1446,0.2311,0.0,1.029,0.0,31.0,0.1031,0.0,0.0825,0.0,1.438,0.0,92.0,0.4418,0.1296,0.1767,0.0
200,4.896,0.0,206.0,0.2111,0.0,0.1156,0.0,1.564,0.0,89.0,0.4552,0.1955,0.2687,0.0,3.758,0.03,147.0,0.1994,0.0059,0.0938,0.0,1.715,0.0,106.0,0.4876,0.1708,0.2968,0.0
201,4.283,0.0,171.0,0.1731,0.0,0.0896,0.0,9.169,0.02,681.0,0.2203,0.0638,0.0979,0.0,0.834,0.0,31.0,0.1279,0.0,0.0814,0.0,2.443,0.0,148.0,0.4399,0.1315,0.1993,0.0
202,3.158,0.0,78.0,0.1476,0.0,0.0886,0.0,1.516,0.03,100.0,0.3786,0.1007,0.15,0.0,7.861,0.09,338.0,0.2442,0.0036,0.1097,0.0,1.224,0.0,61.0,0.2324,0.0586,0.1328,0.0
