,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression
,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore
Paper_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.389,0.01,89.0,0.4885,0.214,0.341,0.0,1.321,0.02,81.0,0.4854,0.2157,0.3883,0.0,1.397,0.04,87.0,0.47,0.1767,0.2857,0.0,4.318,0.0,314.0,0.4317,0.177,0.2335,0.0
22,0.981,0.0,61.0,0.472,0.1132,0.2484,0.0,1.229,0.0,72.0,0.3977,0.0947,0.2105,0.0,0.893,0.0,50.0,0.4133,0.0541,0.2267,0.0,1.235,0.0,76.0,0.5311,0.1829,0.2712,0.0
23,1.375,0.0,103.0,0.3487,0.1036,0.1846,0.0,1.774,0.0,113.0,0.3707,0.0985,0.2146,0.0,1.229,0.0,73.0,0.3735,0.1341,0.241,0.0,1.61,0.0,111.0,0.3627,0.0891,0.1765,0.0
24,1.363,0.0,75.0,0.2481,0.0472,0.186,0.0,2.106,0.0,130.0,0.337,0.0989,0.1957,0.0,1.216,0.0,81.0,0.3731,0.1515,0.2836,0.0,1.635,0.0,87.0,0.3546,0.0719,0.1844,0.0
25,1.308,0.0,90.0,0.3968,0.096,0.1905,0.0,1.086,0.0,58.0,0.3379,0.0922,0.1735,0.0,1.67,0.0,112.0,0.5182,0.1397,0.2044,0.0,1.732,0.14,108.0,0.4741,0.1269,0.1926,0.0
26,1.031,0.0,51.0,0.3005,0.1327,0.216,0.0,1.697,0.0,94.0,0.5328,0.2179,0.3012,0.0,1.328,0.0,67.0,0.4017,0.1586,0.2533,0.0,2.053,0.0,92.0,0.419,0.1355,0.1818,0.0
27,7.037,0.1,433.0,0.1771,0.0037,0.0923,0.0,12.282,0.02,81.0,0.035,0.0,0.0219,0.0,1.719,0.0,113.0,0.1502,0.0,0.0751,0.0,1.614,0.0,91.0,0.2188,0.0,0.1042,0.0
28,1.397,0.06,73.0,0.4894,0.2043,0.2766,0.0,2.628,0.03,159.0,0.4249,0.1624,0.2271,0.0,1.563,0.0,93.0,0.4272,0.098,0.2039,0.0,2.394,0.0,151.0,0.4312,0.1273,0.223,0.0
29,1.443,4.51,98.0,0.4591,0.1333,0.2335,0.0,1.274,0.0,62.0,0.3519,0.0748,0.1944,0.0,1.193,0.0,78.0,0.4085,0.1545,0.2468,0.0,2.352,0.1,166.0,0.4174,0.0627,0.1994,0.0
30,1.421,0.0,93.0,0.4621,0.1374,0.2727,0.0,1.859,0.0,119.0,0.4863,0.1655,0.2123,0.0,1.736,0.0,123.0,0.4392,0.1565,0.2162,0.0,1.585,0.0,97.0,0.3852,0.097,0.1852,0.0
31,1.312,0.0,58.0,0.5699,0.3141,0.3834,0.0,1.242,0.01,67.0,0.4975,0.1809,0.3184,0.0,0.998,0.01,60.0,0.4974,0.2408,0.3731,0.0,2.772,0.04,203.0,0.4438,0.1548,0.2426,0.0
32,0.928,0.02,60.0,0.3661,0.0721,0.1964,0.0,1.315,0.03,79.0,0.3837,0.1152,0.2041,0.0,1.735,0.01,129.0,0.4324,0.0816,0.2027,0.0,2.426,0.04,174.0,0.536,0.1449,0.2767,0.0
33,1.134,0.02,60.0,0.3082,0.1155,0.2079,0.0,1.675,0.0,99.0,0.3648,0.1203,0.2075,0.0,1.438,0.0,92.0,0.3631,0.1538,0.1847,0.0,1.439,0.0,93.0,0.345,0.1415,0.1789,0.0
34,2.534,0.0,187.0,0.259,0.0096,0.1103,0.0,1.379,0.02,76.0,0.3046,0.0533,0.1788,0.0,1.734,0.0,125.0,0.3683,0.0798,0.1473,0.0,2.317,0.0,159.0,0.4444,0.0831,0.2067,0.0
35,1.006,0.02,62.0,0.2989,0.0932,0.1566,0.0,1.528,0.0,96.0,0.4127,0.0958,0.1905,0.0,1.127,0.0,60.0,0.2437,0.0939,0.1434,0.0,2.105,0.0,123.0,0.3684,0.0765,0.1637,0.0
36,1.817,0.0,63.0,0.3846,0.1379,0.2308,0.0,1.366,0.09,69.0,0.3207,0.0511,0.1603,0.0,1.556,0.31,72.0,0.4083,0.1849,0.275,0.0,2.539,0.05,172.0,0.4514,0.1149,0.2229,0.0
37,1.413,0.04,107.0,0.4477,0.152,0.2849,0.0,0.947,0.04,48.0,0.2578,0.0842,0.1533,0.0,1.147,0.05,76.0,0.3215,0.0712,0.1608,0.0,1.343,0.03,87.0,0.3292,0.0688,0.1677,0.0
38,1.797,0.0,125.0,0.4084,0.0847,0.1885,0.0,2.583,0.01,164.0,0.3162,0.1293,0.1966,0.0,1.274,0.05,83.0,0.3784,0.0548,0.2027,0.0,1.891,0.02,120.0,0.3298,0.0645,0.1702,0.0
39,1.077,0.03,64.0,0.4398,0.2092,0.2822,0.0,5.026,0.05,316.0,0.3173,0.0847,0.1687,0.0,1.106,0.04,69.0,0.3918,0.1152,0.2286,0.0,1.213,0.01,69.0,0.3347,0.0823,0.1551,0.0
40,1.443,0.05,84.0,0.4681,0.2151,0.2979,0.0,1.365,0.01,80.0,0.4862,0.2011,0.2873,0.0,1.234,0.0,76.0,0.4804,0.2034,0.3017,0.0,2.507,0.0,175.0,0.4539,0.1357,0.2411,0.0
